Order_ID;Customer_ID;Product_ID;Order_Date;Shipping_Date;Sales;Quantity;Discount;Profit;Unit_Price
1;89;1566;29/03/2019;04/04/2019;79.4;5;0.2;5.955;15.68
2;244;343;14/07/2019;23/07/2019;375.4575;3;0.45;-157.0095;124.7025
3;291;558;01/02/2019;18/02/2019;23.76;3;0.2;2.079;7.72
4;613;1135;13/03/2019;23/03/2019;142.4;5;0;52.688;28.48
5;390;641;15/10/2019;02/11/2019;94.85;5;0;45.528;18.97
6;213;862;31/05/2019;29/06/2019;340.182;3;0.4;-73.7061;112.994
7;550;24;02/09/2019;01/10/2019;203.92;5;0.2;22.941;40.584
8;12;489;17/07/2019;04/08/2019;51.75;5;0;24.84;10.35
9;768;589;21/07/2019;08/08/2019;15.28;2;0;7.4872;7.64
10;678;833;19/11/2019;13/12/2019;154.764;3;0.4;-46.4292;51.188
11;105;392;18/02/2019;09/03/2019;73.32;6;0;21.996;12.22
12;224;1530;02/01/2019;13/01/2019;45.36;7;0;21.7728;6.48
13;728;257;24/11/2019;29/11/2019;8.32;5;0.2;2.808;1.464
14;547;526;17/06/2019;23/06/2019;9.728;2;0.2;3.2832;4.664
15;310;734;04/07/2019;02/08/2019;1297.368;9;0.2;97.3026;143.952
16;789;368;12/03/2019;07/04/2019;72.588;2;0.7;-128.2388;35.594
17;649;1050;05/08/2019;26/08/2019;254.352;3;0.2;0;84.584
18;495;617;14/11/2019;01/12/2019;557.728;4;0.2;6.9716;139.232
19;610;187;21/09/2019;16/10/2019;2.946;3;0.8;-4.8609;0.182
20;308;118;12/12/2019;29/12/2019;226.56;6;0;63.4368;37.76
21;485;1259;31/05/2019;28/06/2019;2.816;2;0.2;0.9856;1.208
22;157;1572;07/10/2019;20/10/2019;335.944;7;0.2;41.993;47.792
23;584;912;31/10/2019;16/11/2019;15.12;3;0.2;4.914;4.84
24;451;857;03/06/2019;28/06/2019;22.38;2;0;10.7424;11.19
25;437;899;28/10/2019;13/11/2019;1575.14;7;0;204.7682;225.02
26;230;699;07/12/2019;11/12/2019;10.476;3;0.6;-6.8094;2.892
27;292;1191;27/08/2019;16/09/2019;55.6;4;0;16.124;13.9
28;326;1496;02/08/2019;08/08/2019;15.936;4;0.2;5.1792;3.784
29;671;325;09/02/2019;12/02/2019;11.12;4;0;2.8912;2.78
30;520;1557;03/10/2019;07/10/2019;21.36;8;0;8.1168;2.67
31;683;1732;22/05/2019;30/05/2019;10.71;3;0;2.7846;3.57
32;589;859;02/03/2019;17/03/2019;15.66;5;0.7;-12.528;2.432
33;628;578;02/12/2019;18/12/2019;831.2;5;0;124.68;166.24
34;301;699;09/10/2019;06/11/2019;34.92;4;0;11.8728;8.73
35;273;491;10/10/2019;29/10/2019;25.92;4;0;12.4416;6.48
36;89;986;08/01/2019;05/02/2019;149.95;5;0;44.985;29.99
37;648;92;20/06/2019;23/06/2019;13.184;1;0.2;4.7792;12.984
38;108;7;02/06/2019;06/06/2019;4.368;3;0.2;0.3822;1.256
39;258;332;02/12/2019;01/01/2020;159.99;1;0;54.3966;159.99
40;149;1427;21/06/2019;18/07/2019;146.82;3;0;73.41;48.94
41;575;1125;07/03/2019;17/03/2019;23.976;4;0.4;-15.5844;5.594
42;597;695;13/11/2019;12/12/2019;38.432;1;0.2;13.4512;38.232
43;547;248;14/03/2019;06/04/2019;89.97;3;0;39.5868;29.99
